Well Name,Consistent_Well Name,qld_database_id
P025AR,P025AR,-1
GR026,GR026,-1
GM025A,GM025A,-1
P025A,P025A,-1
Moranbah 39GMC,Moranbah 39GMC,-1
GR039,GR039,-1
Stratheden 110,Stratheden 110,-1
Stratheden 117,Stratheden 117,-1
Stratheden 118,Stratheden 118,-1
Stratheden 111,Stratheden 111,-1
Stratheden 112,Stratheden 112,-1
Stratheden 113,Stratheden 113,-1
Moranbah 90V,Moranbah 90V,-1
GM038V,GM038V,-1
P038V,P038V,-1
M079V,M079V,-1
M079PV,M079PV,-1
Moranbah 79GMB,Moranbah 79GMB,-1
GM025V,GM025V,-1
M054V,M054V,-1
GM021V,GM021V,-1
P021V,P021V,-1
GM023V,GM023V,-1
Q023V,Q023V,-1
M061V,M061V,-1
M104V,M104V,-1
M117GMV,M117GMV,-1
M077PB,M077PB,-1
Moranbah 91A,Moranbah 91A,-1
M128GMA,M128GMA,-1
M127GMB,M127GMB,-1
Moranbah 81PC,Moranbah 81PC,-1
P041B,P041B,-1
Wyalla 59,Wyalla 59,-1
GM015A,GM015A,-1
M245W,M245W,140423
M246W,M246W,140422
Moranbah 194A,Moranbah 194A,-1
M149GMB,M149GMB,-1
Moranbah 41PC,Moranbah 41PC,-1
GM037CH,GM037CH,-1
Moranbah 175C,Moranbah 175C,-1
M151GMV,M151GMV,-1
Moranbah 176A,Moranbah 176A,-1
Moranbah 466V,Moranbah 466V,-1
GM035V,GM035V,-1
P014V,P014V,-1
P010V,P010V,-1
GM010V,GM010V,-1
P035V,P035V,-1
M151PV,M151PV,-1
GM024V,GM024V,-1
Moranbah 171A,Moranbah 171A,-1
Moranbah 185V,Moranbah 185V,-1
Moranbah 54GMC,Moranbah 54GMC,-1
Moranbah 54PC,Moranbah 54PC,-1
Moranbah 38PC,Moranbah 38PC,-1
P037A,P037A,-1
GR080PC,GR080PC,-1
M323W,M323W,-1
M312GM,M312GM,-1
M319W,M319W,-1
M321W,M321W,-1
M311GM,M311GM,-1
M073QA,M073QA,-1
M073QB,M073QB,-1
M308GM,M308GM,-1
M310GM,M310GM,-1
M111GMA,M111GMA,-1
M111GMB,M111GMB,-1
M111GMV,M111GMV,-1
M112GMA,M112GMA,-1
M112GMB,M112GMB,-1
M112GMV,M112GMV,-1
M108QA,M108QA,-1
M108QB,M108QB,-1
Macalister 103,Macalister 103,-1
M148GMV,M148GMV,-1
M086PV,M086PV,-1
M086GMV,M086GMV,-1
Daandine-47,Daandine 47,-1
M078PB,M078PB,-1
M075PA,M075PA,-1
M078GMB,M078GMB,-1
GM013A,GM013A,-1
GM009V,GM009V,-1
P009V,P009V,-1
P041V,P041V,-1
GM041V,GM041V,-1
GM037V,GM037V,-1
P037V,P037V,-1
M168GMA,M168GMA,-1
M081PB,M081PB,-1
M081GMB,M081GMB,-1
GR006,GR006,-1
M254W,M254W,140460
M254WR,M254WR,-1
M073V,M073V,-1
M113GMV,M113GMV,-1
M215FR,M215FR,-1
Stratheden 87,Stratheden 87,-1
Stratheden-60,Stratheden 60,-1
M085PV,M085PV,-1
M085GMV,M085GMV,-1
M169GMA,M169GMA,-1
M158PB,M158PB,-1
GM057V,GM057V,-1
M058V,M058V,-1
GM029V,GM029V,-1
Moranbah 182A,Moranbah 182A,-1
Moranbah 183V,Moranbah 183V,-1
M101V,M101V,-1
Moranbah 173A,Moranbah 173A,-1
Wyalla 24,Wyalla 24,-1
Moranbah 156A,Moranbah 156A,-1
M158GMB,M158GMB,-1
M244W,M244W,120328
M224W,M224W,-1
P045A,P045A,-1
GM023A,GM023A,-1
GM022B,GM022B,-1
P017A,P017A,-1
M148GMA,M148GMA,-1
M085GMB,M085GMB,-1
M085GMA,M085GMA,-1
P039V,P039V,-1
GM040V,GM040V,-1
P040V,P040V,-1
GM039V,GM039V,-1
M056PA,M056PA,-1
M054GMA,M054GMA,-1
M054PA,M054PA,-1
M056GMA,M056GMA,-1
P022V,P022V,-1
GM022V,GM022V,-1
Moranbah 183A,Moranbah 183A,-1
M071V,M071V,-1
M103V,M103V,-1
GR061,GR061,-1
M076GMB,M076GMB,-1
M235W,M235W,120325
LW132A,LW132A,-1
LW132V,LW132V,-1
CD028F,CD028F,-1
CD029F,CD029F,-1
EF030A,EF030A,-1
EF030V,EF030V,-1
EF032A,EF032A,-1
Glenburnie-15,Glenburnie 15,-1
CX011LL2A,CX011LL2A,-1
CX013LUA,CX013LUA,-1
CX013LUV,CX013LUV,-1
CX014VUV,CX014VUV,-1
GC020A,GC020A,-1
GC020V,GC020V,-1
GC021A,GC021A,-1
GC021V,GC021V,-1
GC022A,GC022A,-1
GC022V,GC022V,-1
PD120A,PD120A,-1
PD122A,PD122A,-1
PD080F,PD080F,-1
PD132A,PD132A,-1
PD081F,PD081F,-1
PD082F,PD082F,-1
PD083F,PD083F,-1
PD084F,PD084F,-1
KC030A_2,KC030A 2,-1
KC032V,KC032V,-1
KC031A_2,KC031A 2,-1
KC031V_2,KC031V 2,-1
KC032A_2,KC032A 2,-1
KC032V_2,KC032V 2,-1
KC030V_2,KC030V 2,-1
KC030A,KC030A,-1
KC030V,KC030V,-1
KC031A,KC031A,-1
KC031V,KC031V,-1
KC032A,KC032A,-1
EF020F,EF020F,-1
EF021F,EF021F,-1
EF022F,EF022F,-1
EF023F,EF023F,-1
EF024F,EF024F,-1
M304GM,M304GM,-1
SW060F,SW060F,-1
SW061F,SW061F,-1
SW062F,SW062F,-1
MD032A,MD032A,-1
MD032V,MD032V,-1
M094PA,M094PA,-1
GM068A,GM068A,-1
GM068B,GM068B,-1
GM068V,GM068V,-1
M066V,M066V,-1
P066B,P066B,-1
P065V,P065V,-1
HB005C,HB005C,-1
Four Mile-1,Four Mile 1,-1
Four Mile-2_1,Four Mile 2 1,-1
Four Mile-2_2,Four Mile 2 2,-1
Four Mile-3_1,Four Mile 3 1,-1
Boyne River-10,Boyne River 10,-1
BWP-39V,BWP 39V,-1
P062A,P062A,-1
PGM062,PGM062,-1
Exmoor 1_1,Exmoor 1 1,-1
P023A,P023A,-1
Boyne River-14,Boyne River 14,-1
Exmoor 1_2,Exmoor 1 2,-1
Exmoor 1_3,Exmoor 1 3,-1
Kendor-5,Kendor 5,-1
Coomooboolaroo-8P,Coomooboolaroo 8P,-1
Boyne River-12,Boyne River 12,-1
P066A,P066A,-1
WB005C,WB005C,-1
M131PB,M131PB,-1
M131PV,M131PV,-1
M132GMB,M132GMB,-1
M132GMV,M132GMV,-1
M159PB,M159PB,-1
M159GMA,M159GMA,-1
M159GMB,M159GMB,-1
M159PA,M159PA,-1
Hopeland 373,Hopeland 373,-1
M222W,M222W,140459
Castledean-18,Castledean 18,138724
Hopeland 91,Hopeland 91,-1
Hopeland 92,Hopeland 92,-1
Hopeland 93,Hopeland 93,-1
Hopeland 94,Hopeland 94,-1
Hopeland 102,Hopeland 102,-1
Glamorgan-1,Glamorgan 1,-1
Hopeland 216,Hopeland 216,-1
Hopeland 217,Hopeland 217,-1
Hopeland 218,Hopeland 218,-1
Hopeland 219,Hopeland 219,-1
Meenawarra-4,Meenawarra 4,-1
CK001P,CK001P,-1
SRJ020H16V,SRJ020H16V,-1
M085PA,M085PA,-1
M085PB,M085PB,-1
M248W,M248W,120334
M249W,M249W,140415
M075GMB,M075GMB,-1
M075PB,M075PB,-1
M088GMA,M088GMA,-1
M087GMB,M087GMB,-1
Moranbah 156B,Moranbah 156B,-1
M130GMA,M130GMA,-1
M129GMB,M129GMB,-1
M083PA,M083PA,-1
M082GMB,M082GMB,-1
M082PB,M082PB,-1
M083GMA,M083GMA,-1
M079PA,M079PA,-1
GM012A,GM012A,-1
P012A,P012A,-1
P042A,P042A,-1
GM036A,GM036A,-1
GM022CH,GM022CH,-1
GM017V,GM017V,-1
P017V,P017V,-1
Moranbah 87GMC,Moranbah 87GMC,-1
M151GMB,M151GMB,-1
P041A,P041A,-1
P040B,P040B,-1
GM024A,GM024A,-1
GM037B,GM037B,-1
P037B,P037B,-1
P022A,P022A,-1
P021B,P021B,-1
GM021B,GM021B,-1
P021BR,P021BR,-1
M078GMA,M078GMA,-1
M078PA,M078PA,-1
GM014V,GM014V,-1
M007QV,M007QV,-1
M008QV,M008QV,-1
M009QV,M009QV,-1
GM042V,GM042V,-1
P042V,P042V,-1
M151PB,M151PB,-1
Moranbah 153V,Moranbah 153V,-1
M077V,M077V,-1
M077PV,M077PV,-1
GM013B,GM013B,-1
M083V,M083V,-1
Moranbah 178B,Moranbah 178B,-1
Moranbah 210A,Moranbah 210A,-1
M099V,M099V,-1
Moranbah 173V,Moranbah 173V,-1
Wyalla 183,Wyalla 183,-1
Wyalla 28,Wyalla 28,-1
Wyalla 30,Wyalla 30,-1
Wyalla 31,Wyalla 31,-1
Wyalla 57,Wyalla 57,-1
Stratheden 231,Stratheden 231,-1
Stratheden 232,Stratheden 232,-1
Stratheden 233,Stratheden 233,-1
Stratheden 234,Stratheden 234,-1
Moranbah 206B,Moranbah 206B,-1
Moranbah 207VA,Moranbah 207VA,-1
Longswamp 121,Longswamp 121,-1
Longswamp 122,Longswamp 122,-1
Longswamp 123,Longswamp 123,-1
Longswamp 124,Longswamp 124,-1
Longswamp 125,Longswamp 125,-1
Longswamp 126,Longswamp 126,-1
Longswamp 127,Longswamp 127,-1
Longswamp 128,Longswamp 128,-1
Longswamp 261,Longswamp 261,-1
Longswamp 262,Longswamp 262,-1
Longswamp 263,Longswamp 263,-1
Longswamp 264,Longswamp 264,-1
Longswamp 35,Longswamp 35,152725
Longswamp 150,Longswamp 150,-1
Longswamp 221,Longswamp 221,-1
Longswamp 222,Longswamp 222,-1
Longswamp 223,Longswamp 223,-1
Longswamp 224,Longswamp 224,-1
Longswamp 225,Longswamp 225,-1
Longswamp 226,Longswamp 226,-1
Longswamp 227,Longswamp 227,-1
Longswamp 228,Longswamp 228,-1
Longswamp 120,Longswamp 120,-1
M315GM,M315GM,-1
M326W,M326W,-1
Guluguba-2,Guluguba 2,-1
Meenawarra 193,Meenawarra 193,-1
Meenawarra 195,Meenawarra 195,-1
Meenawarra 103,Meenawarra 103,-1
Meenawarra 105,Meenawarra 105,-1
Meenawarra 106,Meenawarra 106,-1
Meenawarra 107,Meenawarra 107,-1
Styx River-7,Styx River 7,-1
Meenawarra 39,Meenawarra 39,-1
Warra 27,Warra 27,-1
Guluguba-5,Guluguba 5,-1
Plainview 461,Plainview 461,-1
Plainview 463,Plainview 463,-1
Plainview 464,Plainview 464,-1
Plainview 465,Plainview 465,-1
Plainview 466,Plainview 466,-1
Plainview 467,Plainview 467,-1
Plainview 468,Plainview 468,-1
Meenawarra 34,Meenawarra 34,-1
GR098,GR098,-1
Warra 22,Warra 22,-1
Plainview 201,Plainview 201,-1
SW102A,SW102A,-1
SW102V,SW102V,-1
Mavis Downs 30V,Mavis Downs 30V,-1
MD031A,MD031A,-1
MD031V,MD031V,-1
SW080A,SW080A,-1
SW080V,SW080V,-1
SW081A,SW081A,-1
SW081V,SW081V,-1
SW082A,SW082A,-1
SW082V,SW082V,-1
BE030A,BE030A,-1
BE030V,BE030V,-1
BE031A,BE031A,-1
BE031V,BE031V,-1
BE032A,BE032A,-1
BE032V,BE032V,-1
PD070F,PD070F,-1
PD071F,PD071F,-1
PD072F,PD072F,-1
PD073F,PD073F,-1
CX102A,CX102A,-1
CX102V,CX102V,-1
PD074F,PD074F,-1
SJ010F,SJ010F,-1
P023B,P023B,-1
P023V,P023V,-1
P036A,P036A,-1
P020B,P020B,-1
Casuarina-1,Casuarina 1,-1
Expedition-1P,Expedition 1P,-1
HB006P,HB006P,-1
GML048B,GML048B,-1
BW001V,BW001V,-1
BW001GEA,BW001GEA,-1
BW002V,BW002V,-1
BW002GEA,BW002GEA,-1
Expedition-2C,Expedition 2C,-1
BW003V,BW003V,-1
BW003GEA,BW003GEA,-1
ANGLO_MRG902B04V,ANGLO MRG902B04V,-1
BWP-25,BWP 25,-1
Carn Brea 381,Carn Brea 381,-1
Carn Brea 382,Carn Brea 382,-1
Carn Brea 383,Carn Brea 383,-1
Carn Brea 384,Carn Brea 384,-1
Carn Brea 385,Carn Brea 385,-1
Carn Brea 386,Carn Brea 386,-1
Carn Brea 387,Carn Brea 387,-1
