CONSISTENT_ORIG_NAME_NO,arrow_row_id
GLENUSK SRF JOB 423,-1
BURRA BURRA BORE,-1
LAIDLEY TOWN BORE,-1
LONGREACH NO1,-1
TOWN BORE NO 2,-1
MCKINLAY TOWN BORE,-1
MACKUNDA SRF JOB 2455,-1
MITCHELL TOWN NO 1,-1
MORVEN TOWN BORE NO1,-1
NELIA TOWN,-1
QUILPIE TOWN BORE,-1
MAXWELTON TOWN BORE,-1
QG NO1 (HOSPITAL HILL),-1
QG NO2 (HOSPITAL HILL),-1
QG NO3 (HOSPITAL HILL),-1
ST GEORGE TOWN BORE,-1
TAMBO TOWN BORE NO 1,-1
TAMBO TOWN BORE NO 2,-1
THARGOMINDAH TOWN,-1
PATTERSON JOB NO 385,-1
TINDERRY JOB 702,-1
ARO WALLUMBILLA 19,-1
WINTON NO1,-1
SHALLOW BORE NO 1,-1
SHALLOW BORE NO 2,-1
DRY CREEK BORE,-1
OLIO RLY STN,-1
G ANDERSON,-1
GL ANDERSON,-1
BORE DRILLED IN WELL,-1
FJ NINNES,-1
SF ANDERSON,-1
RH APPLIN,-1
J ARICO,-1
SA MACQUEEN,-1
M BEHRENDORFF,-1
DELLAR,-1
REPEALED,-1
CO BROWN,-1
F BURCHARDT,-1
LICENSED AS RN 34181,-1
TN BOON,-1
OLD WELL,-1
BUNDESON WELL,-1
G BLACK,-1
T BLACKBURN,-1
LICENSED AS RN 47359,-1
LICENSED AS  33303D,-1
RT BOON,-1
PROBABLY RN 34063,-1
CABLE TOOL,-1
PWF 231/1/115,-1
REPEALED,-1
MAY BE RN 34138,-1
MAY NE RN 34220,-1
DEPTH 274.3M,-1
LICENSED AS 34807,-1
PWF 231/1/92,-1
DEPTH 231.3M,-1
LICENSED AS RN 34672,-1
DEPTH 153M,-1
LICENSED AS RN 34178,-1
MAY BE RN 38010,-1
231/1/17,-1
POSITION APPROX,-1
TEST HOLE 231/1/131,-1
TEST HOLE 231/1/57,-1
LICENSED AS RN 33709,-1
LICENSED AS 33917,-1
CABLE TOOL,-1
CABLE TOOL,-1
OLD WELL 231/1/15,-1
CURRENTLY LIC. AS 34444,-1
DEPTH 192.9M,-1
LICIENSESD AS 33889,-1
MAY BE RN 34081,-1
LICENSED AS 38013,-1
OLD BORE 231/1/40,-1
REPEALED,-1
LICENSED AS RN 31386,-1
CLOSE TO RN 34374,-1
LICENSED AS RN 34278,-1
DEPTH 166.1M,-1
LICENSED AS RN 34376,-1
PWF 231/1/126,-1
CABLE TOOL,-1
LICENSED AS RN 34470,-1
231/1/33,-1
LICENSES AS RN 34469,-1
LICENSED AS RN 34430,-1
OLD BORE,-1
JR OLDFIELD,-1
H OAKLEY,-1
G SARA,-1
FR KRAUSE,-1
V YAKIMOFF,-1
B PENBERTHY,-1
WN PERRY,-1
AL PERRY,-1
O PREUSS WELL,-1
T PARKER,-1
LICENSED AS RN 34560,-1
REPEALED,-1
NH PRESTON,-1
EW RUSSELL,-1
AR RUSSELL,-1
M REECE,-1
D RINALDIS,-1
N ROBINSON,-1
V ROBINSON,-1
SV RUSSELL,-1
E SCHUNEMANN,-1
WHITE,-1
SKINNER CG,-1
COLPOYS,-1
C RILEY  DRY BORE,-1
MAY BE 33647 RELINED,-1
LICENSED AS RN 33840,-1
LICENSED AS 34559,-1
OLD WELL 231/1/64,-1
231/1/58,-1
OLD WELL 231/1/19,-1
LICENSED AS RN 33715,-1
DEPTH 155.1M,-1
PWF 231/1/89,-1
LICENSED AS 31335,-1
DEPTH 204.8M,-1
OLD HOUSE BORE,-1
ABERFOYLE NO.1 BORE,-1
TAYLORS PLAIN,-1
DRY BORE,-1
BANTY NO. 4,-1
BANTY BORE,-1
TINUNBURRA BORE,-1
CATHERIAL BORE,-1
SPRING PLAINS BORE,-1
TOP SHED BORE,-1
TOP TAYLOR BORE,-1
HOUSE BORE,-1
SPRING PLAINS BORE,-1
GRASS HUT BORE,-1
BREADY NO.1 BORE,-1
BREADY NO.2 BORE,-1
HOMESTEAD BORE,-1
SAWMILL BORE,-1
ADAVALE TOWN DUD,-1
COMET BORE,-1
ALSTON BORE,-1
HOUSE BORE,-1
KNOB BORE,-1
HORSE CREEK BORE,-1
NO. 3 BORE,-1
CANNONBALL BORE,-1
MILL PADDOCK BORE,-1
LIMBRI,-1
HOUSE BORE,-1
WARIANNA BORE,-1
WOOLSHED BORE,-1
NO. 10 BORE,-1
INGLEOUNDA BORE,-1
COMO BORE,-1
WARIANNA BORE,-1
SANDRINGHAM BORE,-1
ALBA WOOLSCOUR NO 1,-1
ALBA NO. 2 BORE,-1
GABLE END BORE,-1
DEEP BORE,-1
WELL BORE,-1
GURLEY BORE,-1
BLUFF BORE,-1
DRY BORE,-1
OVERSHOT BORE,-1
OLD OVERSHOT BORE,-1
SCOTTS BORE,-1
GUM HOLES BORE,-1
CANUPA BORE,-1
WHITES BORE,-1
SHED BORE,-1
OLD OMA NO.1 BORE,-1
OLD OMA NO.2 BORE,-1
OMA BORE,-1
NO NAME,-1
NEW DEER NO.1 BORE,-1
OLD BORE,-1
MIDDLE BORE,-1
HOUSE BORE,-1
DRY BONE BORE,-1
HOUSE BORE,-1
COXON'S BORE,-1
ALBILBAH BORE,-1
ALBION BORE,-1
HOUSE BORE,-1
BARTHAMS NO.2 BORE,-1
SESBANIA RES 3 BORE,-1
YELLOW WATERHOLE,-1
GUM CREEK,-1
ENGINE BORE,-1
MUCHLANDAMA BORE,-1
BENGEACCA BORE,-1
OLD STATION WELL,-1
STATION WELL,-1
MARYVALE NO1 BORE,-1
STOCKPORT NO 2,-1
STOCKPORT 3 AKA DRIBBLING,-1
HOUSE BORE,-1
STOCKPORT NO 1,-1
CROYDON,-1
NORWOOD,-1
WESTBROOK DOWNS,-1
NO NAME,-1
ARMRAYNALD NO 1,-1
ARMRAYNALD NO 2,-1
OLD ARMRAYNALD NO 3,-1
SALT BORE,-1
TOARBEE BORE,-1
NO.2 BORE    COLARADO,-1
NO.1 BORE,-1
COLORADO WELL NO. 1,-1
COLORADO WELL NO.2,-1
NO.3 BORE,-1
TWENTY MILE BORE,-1
SEDGEFORD NO 7 BORE,-1
NO.1 BORE,-1
JESSDALE NO 2 BORE,-1
OLD MILL BORE,-1
LITTLE PLAIN BORE,-1
HOMESTEAD BORE,-1
OLD RAILWAY WELL,-1
RAILWAY WELL,-1
SHIRE HALL,-1
CONVENT,-1
CRONIN,-1
NO.2 BORE,-1
SURPRISE HILL,-1
KAHLS,-1
JONES,-1
SANDY CREEK BORE,-1
HOUSE BORE,-1
CLEWS BORE,-1
OLD BEDFORD WELL,-1
BEDFORD WELL NO2,-1
CORN TOP WELL NO.1,-1
CORN TOP WELL NO.2,-1
NO.1 BORE,-1
AMBATHALLA NO 1 BORE,-1
AMBATHALLA NO 2 BORE,-1
AMBATHALLA NO 3 BORE,-1
BOONDOON BORE,-1
STANNUM BORE,-1
FIRST BORE,-1
SECOND BORE,-1
OLD BORE,-1
NO 1 BORE,-1
HOUSE BORE DUD,-1
HOUSE BORE,-1
ANGELLALA DOWNS 3,-1
ANGELLALA DOWNS 4,-1
NO NAME,-1
HIGHFIELD BORE,-1
WEINHOLTS BORE,-1
20 MILE PADDOCK BORE,-1
LESDALE BORE,-1
LAKE BORE,-1
NO NAME,-1
WOOLSHED BORE,-1
10 MILE BORE,-1
WASHPOOL BORE,-1
NO NAME,-1
18  MILE  BORE,-1
CAMARA BORE,-1
SPLITTERS CREEK,-1
OLD FIVE MILE,-1
NO NAME,-1
NO NAME,-1
NO NAME,-1
FRIENDLY SPRINGS,-1
S.TOP 20 MILES,-1
N.TOP 20 MILES,-1
NEW FIVE MILE,-1
HOUSE BORE PELICAN E,-1
NO NAME,-1
SYPHON BORE,-1
BULLOCK PADDOCK BORE,-1
HOUSE BORE,-1
NO2 BORE,-1
NO NAME,-1
